facility_name,state,industry_sector,total_ghg_emissions_tonnes,latitude,longitude,reporting_year
"AMGEN MANUFACTURING, LIMITED",PR,Chemicals,41579.632,18.2375,-65.907222,2021
AMP Fremont Energy Center,OH,Power Plants,1404363.296,41.355909,-83.122007,2021
ANALOG DEVICES,WA,Other,15173.327182,45.59995,-122.45204,2021
ANCHOR ACQUISITION LLC MONACA PLT,PA,Minerals,37874.002,40.69152,-80.2808,2021
ANCHOR HOCKING GLASS CO PLANT NO 1 *,OH,Minerals,92509.6,39.71923,-82.61895,2021
ANCHORAGE REGIONAL LANDFILL,AK,Waste,170583.85,61.290401,-149.604757,2021
ANDERSON LANDFILL,CA,Waste,37709.5,40.41754,-122.35787,2021
ANGELINA COUNTY WASTE MANAGEMENT CENTER,TX,Waste,105041.0,31.2525,-94.695,2021
ANHEUSER BUSCH BALDWINSVILLE BREWERY,NY,"Other,Suppliers of CO2",27481.116,43.1691,-76.3112,2021
ANHEUSER BUSCH INC,OH,Other,34911.082,40.103056,-82.993056,2021
AUX SABLE LIQUID PRODUCTS INC,IL,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",300870.432,41.41305,-88.305556,2021
ANR Pipeline Alden CS,KS,Petroleum and Natural Gas Systems,3464.894,38.22602,-98.290368,2021
ANR Pipeline Birmingham CS,IA,Petroleum and Natural Gas Systems,27412.212,40.901819,-91.967609,2021
ANR Pipeline Bridgman CS,MI,Petroleum and Natural Gas Systems,29950.814,41.897126,-86.534271,2021
ANR Pipeline Brownsville CS,TN,Petroleum and Natural Gas Systems,59378.884,35.631327,-89.189369,2021
ANR Pipeline Celestine CS,IN,Petroleum and Natural Gas Systems,43792.7,38.377528,-86.777306,2021
ANR Pipeline Cottage Grove CS,TN,Petroleum and Natural Gas Systems,35594.59,36.390381,-88.481323,2021
ANR Pipeline Delhi CS,LA,Petroleum and Natural Gas Systems,35525.674,32.462407,-91.5611,2021
ANR Pipeline E.G. Hill CS,TX,Petroleum and Natural Gas Systems,1185.596,36.30068,-101.615777,2021
ANR Pipeline Enterprise CS,KS,Petroleum and Natural Gas Systems,25750.672,38.82909,-97.09359,2021
ANR Pipeline Eunice CS,LA,Petroleum and Natural Gas Systems,58641.64,30.466034,-92.520137,2021
ANR Pipeline Greensburg CS,KS,Petroleum and Natural Gas Systems,26313.366,37.61422,-99.396874,2021
ANR Pipeline Greenville CS,MS,Petroleum and Natural Gas Systems,41196.17,33.28468,-91.01969,2021
ANR Pipeline Hamilton CS,MI,Petroleum and Natural Gas Systems,20048.086,42.668172,-85.956426,2021
ANR Pipeline Havensville CS,KS,Petroleum and Natural Gas Systems,2493.046,39.490718,-96.041662,2021
ANR Pipeline Jena CS,LA,Petroleum and Natural Gas Systems,60480.732,31.537914,-92.181442,2021
ANR Pipeline LaGrange CS,IN,Petroleum and Natural Gas Systems,20587.876,41.6413,-85.4685,2021
ANR Pipeline Lineville CS,IA,Petroleum and Natural Gas Systems,7551.83,40.630044,-93.540108,2021
ANR Pipeline Madisonville CS,KY,Petroleum and Natural Gas Systems,35796.636,37.3823,-87.6177,2021
ANR Pipeline Maitland CS,MO,Petroleum and Natural Gas Systems,29028.354,40.175383,-95.122361,2021
